"X","Y","H30_Lusit (TWT)"
527980.01,2264261.01,388.67569
527980.01,2264361.01,392.37056
527980.01,2264461.01,393.661285
527980.01,2264561.01,394.407951
527980.01,2264661.01,397.056107
527980.01,2264761.01,398.854225
527980.01,2264861.01,394.678284
527980.01,2264961.01,392.255005
527980.01,2265061.01,389.548904
527980.01,2265161.01,391.112808
527980.01,2265261.01,392.155487
527980.01,2265361.01,392.260971
527980.01,2265461.01,387.140167
527980.01,2265561.01,380.748474
527980.01,2265661.01,381.245911
527980.01,2265761.01,382.079544
527980.01,2265861.01,384.161713
527980.01,2265961.01,386.001541
527980.01,2266061.01,386.770065
527980.01,2266161.01,386.950287
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,394.503152
528080.01,2261161.01,394.481949
528080.01,2261261.01,389.991264
528080.01,2261361.01,388.356293
528080.01,2261461.01,381.372223
528080.01,2261561.01,374.102829
528080.01,2261661.01,373.295212
528080.01,2261761.01,373.785378
528080.01,2261861.01,375.069122
528080.01,2261961.01,374.384491
528080.01,2262061.01,372.996429
528080.01,2262161.01,365.57309
528080.01,2262261.01,364.608139
528080.01,2262361.01,365.474487
528080.01,2262461.01,364.617752
528080.01,2262561.01,363.279633
528080.01,2262661.01,363.630829
528080.01,2262761.01,364.356186
528080.01,2262861.01,365.080948
528080.01,2262961.01,366.582596
528080.01,2263061.01,367.605331
528080.01,2263161.01,369.172531
528080.01,2263261.01,368.847458
528080.01,2263361.01,370.115173
528080.01,2263461.01,371.235596
528080.01,2263561.01,371.471542
528080.01,2263661.01,373.507484
528080.01,2263761.01,374.902176
528080.01,2263861.01,375.544754
528080.01,2263961.01,378.777557
528080.01,2264061.01,383.068481
528080.01,2264161.01,384.03051
528080.01,2264261.01,386.682831
528080.01,2264361.01,388.323769
528080.01,2264461.01,390.035797
528080.01,2264561.01,390.513245
528080.01,2264661.01,389.204285
528080.01,2264761.01,387.893219
528080.01,2264861.01,386.582886
528080.01,2264961.01,387.517586
528080.01,2265061.01,389.184265
528080.01,2265161.01,390.261795
528080.01,2265261.01,392.694733
528080.01,2265361.01,391.755127
528080.01,2265461.01,387.809853
528080.01,2265561.01,382.568329
528080.01,2265661.01,381.903069
528080.01,2265761.01,383.580719
528080.01,2265861.01,385.015656
528080.01,2265961.01,386.242584
528080.01,2266061.01,386.255638
528080.01,2266161.01,385.661697
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,402.706436
528180.01,2261161.01,402.598236
528180.01,2261261.01,406.519417
528180.01,2261361.01,404.636246
528180.01,2261461.01,391.929169
528180.01,2261561.01,377.410248
528180.01,2261661.01,375.140259
528180.01,2261761.01,372.957947
528180.01,2261861.01,373.981812
