"X","Y","H20_Kimm (TWT)"
528480.01,2262861.01,236.112206
528480.01,2262961.01,237.844505
528480.01,2263061.01,238.659866
528480.01,2263161.01,237.813934
528480.01,2263261.01,239.370377
528480.01,2263361.01,241.929092
528480.01,2263461.01,241.826019
528480.01,2263561.01,243.888271
528480.01,2263661.01,245.688766
528480.01,2263761.01,245.732956
528480.01,2263861.01,247.109207
528480.01,2263961.01,249.925621
528480.01,2264061.01,251.885475
528480.01,2264161.01,256.274746
528480.01,2264261.01,259.771957
528480.01,2264361.01,262.474915
528480.01,2264461.01,267.782806
528480.01,2264561.01,270.112274
528480.01,2264661.01,270.841583
528480.01,2264761.01,270.732178
