"X","Y","H02_TBeauce (TWT)"
527280.01,2264661.01,-33.015979767
527280.01,2264761.01,-29.016857147
527280.01,2264861.01,-28.904302597
527280.01,2264961.01,-30.00853157
527280.01,2265061.01,-31.110307693
527280.01,2265161.01,-32.323200226
527280.01,2265261.01,-32.962451935
527280.01,2265361.01,-33.440032959
527280.01,2265461.01,-35.011547089
527280.01,2265561.01,-36.142902374
527280.01,2265661.01,-37.707946777
527280.01,2265761.01,-38.782939911
527280.01,2265861.01,-39.844955444
527380.01,2261161.01,-29.110609055
527380.01,2261261.01,-29.60550499
527380.01,2261361.01,-30.039861679
527380.01,2261461.01,-30.206842422
527380.01,2261561.01,-30.659154892
527380.01,2261661.01,-32.345954895
527380.01,2261761.01,-33.890220642
527380.01,2261861.01,-35.369274139
527380.01,2261961.01,-36.747882843
527380.01,2262061.01,-36.878883362
527380.01,2262161.01,-36.753505707
527380.01,2262261.01,-37.163345337
527380.01,2262361.01,-37.206356049
527380.01,2262461.01,-36.966430664
527380.01,2262561.01,-37.88192749
527380.01,2262661.01,-38.33052063
527380.01,2262761.01,-37.973457336
527380.01,2262861.01,-37.436332703
527380.01,2262961.01,-37.213977814
527380.01,2263061.01,-36.695041656
527380.01,2263161.01,-35.742729187
527380.01,2263261.01,-35.435516357
527380.01,2263361.01,-34.737342834
527380.01,2263461.01,-34.307250977
527380.01,2263561.01,-34.330665588
527380.01,2263661.01,-33.137592316
527380.01,2263761.01,-31.913139343
527380.01,2263861.01,-31.50406456
527380.01,2263961.01,-30.219125748
527380.01,2264061.01,-29.868843079
527380.01,2264161.01,-32.596828461
527380.01,2264261.01,-35.003227234
527380.01,2264361.01,-35.896640778
527380.01,2264461.01,-36.298862457
527380.01,2264561.01,-36.452960968
527380.01,2264661.01,-34.512763977
527380.01,2264761.01,-31.667037964
527380.01,2264861.01,-30.948326111
527380.01,2264961.01,-30.678359985
527380.01,2265061.01,-31.061441422
527380.01,2265161.01,-32.594738007
527380.01,2265261.01,-33.852825165
527380.01,2265361.01,-33.962108612
527380.01,2265461.01,-34.850734711
527380.01,2265561.01,-35.912128448
527380.01,2265661.01,-37.486927032
527380.01,2265761.01,-38.585823059
527380.01,2265861.01,-39.645992279
527380.01,2265961.01,-40.797439575
527480.01,2261161.01,-29.097179413
527480.01,2261261.01,-29.976789474
527480.01,2261361.01,-30.337556839
527480.01,2261461.01,-30.423427582
527480.01,2261561.01,-30.881752014
527480.01,2261661.01,-32.352859497
527480.01,2261761.01,-34.020500183
527480.01,2261861.01,-35.931091309
527480.01,2261961.01,-37.653865814
527480.01,2262061.01,-38.667625427
527480.01,2262161.01,-38.563106537
527480.01,2262261.01,-38.585067749
527480.01,2262361.01,-38.589607239
527480.01,2262461.01,-37.848930359
527480.01,2262561.01,-38.448501587
527480.01,2262661.01,-39.052471161
527480.01,2262761.01,-38.620487213
527480.01,2262861.01,-38.146373749
527480.01,2262961.01,-37.836715698
527480.01,2263061.01,-37.225418091
527480.01,2263161.01,-36.396686554
527480.01,2263261.01,-36.278327942
527480.01,2263361.01,-35.590564728
527480.01,2263461.01,-34.784122467
527480.01,2263561.01,-34.888641357
527480.01,2263661.01,-34.015365601
527480.01,2263761.01,-33.00415802
527480.01,2263861.01,-32.099990845
527480.01,2263961.01,-29.277387619
