"X","Y","H40_Batho (TWT)"
528280.01,2261361.01,602.973816
528280.01,2261461.01,601.813019
528280.01,2261561.01,601.720306
528280.01,2261661.01,598.003738
528280.01,2261761.01,593.313599
528280.01,2261861.01,591.164124
528280.01,2261961.01,583.863953
528280.01,2262061.01,580.208618
528280.01,2262161.01,578.728821
528280.01,2262261.01,578.057251
528280.01,2262361.01,575.814819
528280.01,2262461.01,575.468384
528280.01,2262561.01,574.636932
528280.01,2262661.01,574.576904
528280.01,2262761.01,574.693298
528280.01,2262861.01,574.269531
528280.01,2262961.01,575.693115
528280.01,2263061.01,577.816986
528280.01,2263161.01,578.63089
528280.01,2263261.01,580.896301
528280.01,2263361.01,582.867798
528280.01,2263461.01,583.355774
528280.01,2263561.01,584.89357
528280.01,2263661.01,585.437592
528280.01,2263761.01,585.836121
528280.01,2263861.01,587.559845
528280.01,2263961.01,588.609314
528280.01,2264061.01,589.354034
528280.01,2264161.01,588.459015
528280.01,2264261.01,587.941025
528280.01,2264361.01,587.101868
528280.01,2264461.01,586.063873
528280.01,2264561.01,588.143372
528280.01,2264661.01,591.776764
528280.01,2264761.01,592.937103
528280.01,2264861.01,594.439301
528280.01,2264961.01,594.307648
528280.01,2265061.01,594.421265
528280.01,2265161.01,593.562836
528280.01,2265261.01,587.424316
528280.01,2265361.01,587.792816
528280.01,2265461.01,591.315216
528280.01,2265561.01,594.415176
528280.01,2265661.01,595.808685
528280.01,2265761.01,596.271698
528280.01,2265861.01,597.016541
528280.01,2265961.01,597.673462
528280.01,2266061.01,598.186768
528280.01,2266161.01,601.082611
528280.01,2266261.01,603.151077
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,611.472961
528380.01,2260961.01,608.480469
528380.01,2261061.01,608.044861
528380.01,2261161.01,605.740997
528380.01,2261261.01,606.085632
528380.01,2261361.01,605.265045
528380.01,2261461.01,604.056061
528380.01,2261561.01,603.366394
528380.01,2261661.01,601.165833
528380.01,2261761.01,597.023682
528380.01,2261861.01,593.091843
528380.01,2261961.01,585.477539
528380.01,2262061.01,581.202072
528380.01,2262161.01,581.205872
528380.01,2262261.01,579.16394
528380.01,2262361.01,576.19635
528380.01,2262461.01,574.600494
528380.01,2262561.01,573.582581
528380.01,2262661.01,572.470367
528380.01,2262761.01,570.128082
528380.01,2262861.01,569.335876
528380.01,2262961.01,570.987762
528380.01,2263061.01,573.282593
528380.01,2263161.01,574.020615
528380.01,2263261.01,576.471008
528380.01,2263361.01,578.907944
528380.01,2263461.01,578.892273
528380.01,2263561.01,580.462311
528380.01,2263661.01,582.714111
528380.01,2263761.01,583.017334
528380.01,2263861.01,584.139526
528380.01,2263961.01,585.009995
528380.01,2264061.01,582.687622
528380.01,2264161.01,583.472107
528380.01,2264261.01,583.801147
528380.01,2264361.01,583.329285
528380.01,2264461.01,583.872772
528380.01,2264561.01,586.716736
528380.01,2264661.01,591.11557
528380.01,2264761.01,592.787537
528380.01,2264861.01,594.34845
528380.01,2264961.01,594.948425
528380.01,2265061.01,595.152878
528380.01,2265161.01,593.657043
528380.01,2265261.01,588.684799
528380.01,2265361.01,588.160889
528380.01,2265461.01,591.24707
528380.01,2265561.01,593.71814
528380.01,2265661.01,594.118591
528380.01,2265761.01,596.040039
528380.01,2265861.01,597.643524
528380.01,2265961.01,598.837952
528380.01,2266061.01,599.772095
528380.01,2266161.01,602.090912
528380.01,2266261.01,602.862732
528380.01,2266361.01,603.071075
528380.01,2266461.01,-9999
528480.01,2260861.01,-9999
528480.01,2260961.01,617.142883
528480.01,2261061.01,618.809937
528480.01,2261161.01,616.862366
528480.01,2261261.01,616.06543
528480.01,2261361.01,609.642456
528480.01,2261461.01,606.810913
528480.01,2261561.01,605.883987
528480.01,2261661.01,602.00351
528480.01,2261761.01,598.092514
528480.01,2261861.01,593.438934
528480.01,2261961.01,590.143616
528480.01,2262061.01,587.410675
528480.01,2262161.01,587.941284
528480.01,2262261.01,586.662674
528480.01,2262361.01,582.621094
528480.01,2262461.01,581.696045
528480.01,2262561.01,575.935242
528480.01,2262661.01,570.46875
528480.01,2262761.01,568.686218
528480.01,2262861.01,566.600983
528480.01,2262961.01,567.528259
528480.01,2263061.01,569.99791
528480.01,2263161.01,568.543823
528480.01,2263261.01,571.171875
528480.01,2263361.01,573.514313
528480.01,2263461.01,573.583649
528480.01,2263561.01,575.441864
528480.01,2263661.01,577.645477
528480.01,2263761.01,577.601776
528480.01,2263861.01,578.494995
528480.01,2263961.01,579.671967
528480.01,2264061.01,580.285339
528480.01,2264161.01,581.771072
528480.01,2264261.01,582.884125
528480.01,2264361.01,582.656586
528480.01,2264461.01,582.913361
528480.01,2264561.01,586.051697
528480.01,2264661.01,590.520599
528480.01,2264761.01,592.41864
