"X","Y","H70_Arg_Lev (TWT)"
528280.01,2260961.01,742.405396
528280.01,2261061.01,742.265366
528280.01,2261161.01,740.481459
528280.01,2261261.01,739.792333
528280.01,2261361.01,741.346508
528280.01,2261461.01,743.853814
528280.01,2261561.01,743.328772
528280.01,2261661.01,744.431355
528280.01,2261761.01,737.076817
528280.01,2261861.01,730.976152
528280.01,2261961.01,722.928228
528280.01,2262061.01,713.247857
528280.01,2262161.01,711.376924
528280.01,2262261.01,711.529032
528280.01,2262361.01,711.031665
528280.01,2262461.01,712.722496
528280.01,2262561.01,711.118746
528280.01,2262661.01,709.178227
528280.01,2262761.01,709.14007
528280.01,2262861.01,704.006116
528280.01,2262961.01,704.365754
528280.01,2263061.01,703.985263
528280.01,2263161.01,703.332971
528280.01,2263261.01,702.024509
528280.01,2263361.01,704.721055
528280.01,2263461.01,703.774559
528280.01,2263561.01,703.990422
528280.01,2263661.01,703.240618
528280.01,2263761.01,703.95357
528280.01,2263861.01,706.442062
528280.01,2263961.01,706.927255
528280.01,2264061.01,708.182021
528280.01,2264161.01,708.092772
528280.01,2264261.01,706.292516
528280.01,2264361.01,704.024623
528280.01,2264461.01,706.078899
528280.01,2264561.01,708.990597
528280.01,2264661.01,709.113277
528280.01,2264761.01,710.521939
528280.01,2264861.01,711.29018
528280.01,2264961.01,713.450975
528280.01,2265061.01,712.030106
528280.01,2265161.01,699.123629
528280.01,2265261.01,700.977852
528280.01,2265361.01,701.374994
528280.01,2265461.01,703.822202
528280.01,2265561.01,706.915777
528280.01,2265661.01,709.256747
528280.01,2265761.01,709.303334
528280.01,2265861.01,709.111656
528280.01,2265961.01,710.353684
528280.01,2266061.01,711.372374
528280.01,2266161.01,713.696468
528280.01,2266261.01,712.573742
528280.01,2266361.01,711.608496
528280.01,2266461.01,712.452005
528380.01,2260861.01,744.146301
528380.01,2260961.01,741.217601
528380.01,2261061.01,743.657545
528380.01,2261161.01,742.444383
528380.01,2261261.01,742.430867
528380.01,2261361.01,740.688168
528380.01,2261461.01,738.813118
528380.01,2261561.01,736.315686
528380.01,2261661.01,733.87507
528380.01,2261761.01,730.162342
528380.01,2261861.01,730.782045
528380.01,2261961.01,724.242758
528380.01,2262061.01,713.554846
528380.01,2262161.01,714.691676
528380.01,2262261.01,712.645045
528380.01,2262361.01,711.132317
528380.01,2262461.01,711.207135
528380.01,2262561.01,710.250622
528380.01,2262661.01,709.366108
528380.01,2262761.01,706.447371
528380.01,2262861.01,704.967411
528380.01,2262961.01,707.56401
528380.01,2263061.01,699.337714
528380.01,2263161.01,692.197302
528380.01,2263261.01,694.543478
528380.01,2263361.01,697.030541
528380.01,2263461.01,696.570825
528380.01,2263561.01,697.246507
528380.01,2263661.01,701.864409
528380.01,2263761.01,701.949322
528380.01,2263861.01,704.708808
528380.01,2263961.01,704.531755
528380.01,2264061.01,702.843773
528380.01,2264161.01,705.083508
528380.01,2264261.01,703.12942
528380.01,2264361.01,703.9254
528380.01,2264461.01,704.558663
528380.01,2264561.01,705.142974
528380.01,2264661.01,708.538268
528380.01,2264761.01,710.638044
528380.01,2264861.01,711.519776
528380.01,2264961.01,713.362131
528380.01,2265061.01,711.787692
528380.01,2265161.01,699.500395
528380.01,2265261.01,700.542413
528380.01,2265361.01,701.26431
528380.01,2265461.01,704.814606
528380.01,2265561.01,706.696556
528380.01,2265661.01,707.928533
528380.01,2265761.01,709.567438
528380.01,2265861.01,709.778594
528380.01,2265961.01,710.633811
528380.01,2266061.01,713.371295
528380.01,2266161.01,714.02398
528380.01,2266261.01,713.173237
528380.01,2266361.01,711.760238
528380.01,2266461.01,712.262227
528480.01,2260861.01,-9999
528480.01,2260961.01,743.879875
528480.01,2261061.01,745.893162
528480.01,2261161.01,744.152819
528480.01,2261261.01,744.022942
528480.01,2261361.01,743.373622
528480.01,2261461.01,739.977156
528480.01,2261561.01,739.154084
528480.01,2261661.01,733.951465
528480.01,2261761.01,731.580254
528480.01,2261861.01,730.489046
528480.01,2261961.01,731.256271
528480.01,2262061.01,724.544781
528480.01,2262161.01,722.005168
528480.01,2262261.01,719.747442
528480.01,2262361.01,718.116579
528480.01,2262461.01,714.356897
528480.01,2262561.01,712.003592
528480.01,2262661.01,705.197829
528480.01,2262761.01,703.076391
528480.01,2262861.01,702.030203
528480.01,2262961.01,702.99336
528480.01,2263061.01,702.831907
528480.01,2263161.01,696.756447
528480.01,2263261.01,691.059454
528480.01,2263361.01,693.673335
528480.01,2263461.01,693.237807
528480.01,2263561.01,697.092322
528480.01,2263661.01,698.729385
528480.01,2263761.01,700.944821
528480.01,2263861.01,706.382474
528480.01,2263961.01,703.242288
528480.01,2264061.01,701.484462
528480.01,2264161.01,703.628316
528480.01,2264261.01,702.652526
528480.01,2264361.01,702.152514
