"X","Y","H04_Cenom (TWT)"
528280.01,2264561.01,74.6784058
528280.01,2264661.01,75.6414413
528280.01,2264761.01,72.6522255
528280.01,2264861.01,73.7529793
528280.01,2264961.01,76.6307812
528280.01,2265061.01,77.1677704
528280.01,2265161.01,79.8666191
528280.01,2265261.01,81.3854294
528280.01,2265361.01,80.2708244
528280.01,2265461.01,78.747261
528280.01,2265561.01,80.6653576
528280.01,2265661.01,82.3267365
528280.01,2265761.01,83.1282387
528280.01,2265861.01,87.2696304
528280.01,2265961.01,90.5893173
528280.01,2266061.01,92.0180168
528280.01,2266161.01,92.5985222
528280.01,2266261.01,92.4273949
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,93.3837276
528380.01,2260961.01,92.1859093
528380.01,2261061.01,93.1667786
528380.01,2261161.01,96.0468178
528380.01,2261261.01,100.144211
528380.01,2261361.01,106.187368
528380.01,2261461.01,116.984247
528380.01,2261561.01,120.85955
528380.01,2261661.01,124.343616
528380.01,2261761.01,127.259239
528380.01,2261861.01,128.336033
528380.01,2261961.01,132.052956
528380.01,2262061.01,139.581707
528380.01,2262161.01,143.464874
528380.01,2262261.01,140.443008
528380.01,2262361.01,128.004272
528380.01,2262461.01,111.690407
528380.01,2262561.01,110.38406
528380.01,2262661.01,86.4777088
528380.01,2262761.01,78.9718037
528380.01,2262861.01,74.6974411
528380.01,2262961.01,66.4962502
528380.01,2263061.01,65.0841293
528380.01,2263161.01,63.0428143
528380.01,2263261.01,60.0225124
528380.01,2263361.01,60.0452318
528380.01,2263461.01,60.3964081
528380.01,2263561.01,62.0925713
528380.01,2263661.01,63.6634216
528380.01,2263761.01,62.8226557
528380.01,2263861.01,63.7808609
528380.01,2263961.01,66.3374519
528380.01,2264061.01,65.9507599
528380.01,2264161.01,67.6024017
528380.01,2264261.01,69.5147438
528380.01,2264361.01,69.3383865
528380.01,2264461.01,68.1321678
528380.01,2264561.01,68.2281418
528380.01,2264661.01,68.8165226
528380.01,2264761.01,69.8767929
528380.01,2264861.01,72.7521896
528380.01,2264961.01,75.7034531
528380.01,2265061.01,75.9023342
528380.01,2265161.01,78.3955994
528380.01,2265261.01,79.7429714
528380.01,2265361.01,78.3513527
528380.01,2265461.01,77.708168
528380.01,2265561.01,78.6353607
528380.01,2265661.01,80.1980324
528380.01,2265761.01,83.5421658
528380.01,2265861.01,87.3547592
528380.01,2265961.01,88.5061188
528380.01,2266061.01,90.4918365
528380.01,2266161.01,92.9039192
528380.01,2266261.01,92.7478867
528380.01,2266361.01,91.8369617
528380.01,2266461.01,-9999
528480.01,2260861.01,95.6821289
528480.01,2260961.01,96.647459
528480.01,2261061.01,98.7607079
528480.01,2261161.01,102.380327
528480.01,2261261.01,106.422211
528480.01,2261361.01,112.22974
528480.01,2261461.01,118.192177
528480.01,2261561.01,121.343027
