"X","Y","H80_r3a (TWT)"
527880.01,2263461.01,783.967468
527880.01,2263561.01,781.713928
527880.01,2263661.01,774.072662
527880.01,2263761.01,764.66449
527880.01,2263861.01,765.920776
527880.01,2263961.01,757.446014
527880.01,2264061.01,747.463257
527880.01,2264161.01,741.071533
527880.01,2264261.01,742.640289
527880.01,2264361.01,743.899109
527880.01,2264461.01,747.862335
527880.01,2264561.01,752.100739
527880.01,2264661.01,757.063232
527880.01,2264761.01,760.403198
527880.01,2264861.01,762.327286
527880.01,2264961.01,765.144257
527880.01,2265061.01,760.66362
527880.01,2265161.01,761.363403
527880.01,2265261.01,762.221252
527880.01,2265361.01,765.889038
527880.01,2265461.01,766.634338
527880.01,2265561.01,767.355743
527880.01,2265661.01,768.430801
527880.01,2265761.01,770.801727
527880.01,2265861.01,771.938629
527880.01,2265961.01,772.088623
527880.01,2266061.01,769.113159
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,-9999
527980.01,2261161.01,791.062439
527980.01,2261261.01,781.211853
527980.01,2261361.01,779.639191
527980.01,2261461.01,775.315521
527980.01,2261561.01,771.825897
527980.01,2261661.01,769.925964
527980.01,2261761.01,767.945648
527980.01,2261861.01,769.35144
527980.01,2261961.01,770.33873
527980.01,2262061.01,770.467743
527980.01,2262161.01,769.984055
527980.01,2262261.01,769.429993
527980.01,2262361.01,767.619812
527980.01,2262461.01,766.314514
527980.01,2262561.01,767.868225
527980.01,2262661.01,769.042206
527980.01,2262761.01,772.169586
527980.01,2262861.01,774.307236
527980.01,2262961.01,774.24939
527980.01,2263061.01,775.509247
527980.01,2263161.01,776.273132
527980.01,2263261.01,775.726151
527980.01,2263361.01,777.588562
527980.01,2263461.01,778.748688
527980.01,2263561.01,777.81311
527980.01,2263661.01,776.261597
527980.01,2263761.01,771.845551
527980.01,2263861.01,770.906219
527980.01,2263961.01,770.544342
527980.01,2264061.01,769.237579
527980.01,2264161.01,765.706146
527980.01,2264261.01,759.105652
527980.01,2264361.01,757.203766
527980.01,2264461.01,758.092163
527980.01,2264561.01,758.617157
527980.01,2264661.01,758.023834
527980.01,2264761.01,758.008987
527980.01,2264861.01,759.10675
527980.01,2264961.01,761.442902
527980.01,2265061.01,756.595428
527980.01,2265161.01,757.703979
527980.01,2265261.01,760.875366
527980.01,2265361.01,763.590179
527980.01,2265461.01,765.978424
527980.01,2265561.01,769.782166
527980.01,2265661.01,770.257812
527980.01,2265761.01,771.934113
527980.01,2265861.01,772.274628
527980.01,2265961.01,767.259094
527980.01,2266061.01,761.478455
527980.01,2266161.01,759.689758
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,802.374426
528080.01,2261161.01,803.422882
528080.01,2261261.01,797.10141
528080.01,2261361.01,791.499573
528080.01,2261461.01,779.894592
528080.01,2261561.01,776.733032
528080.01,2261661.01,775.115448
528080.01,2261761.01,772.342758
528080.01,2261861.01,771.08963
