"X","Y","H60_Charm (TWT)"
528080.01,2265361.01,682.980591
528080.01,2265461.01,683.262177
528080.01,2265561.01,689.35788
528080.01,2265661.01,689.015381
528080.01,2265761.01,685.734985
528080.01,2265861.01,686.064941
528080.01,2265961.01,687.896667
528080.01,2266061.01,687.747299
528080.01,2266161.01,687.910309
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,700.767517
528180.01,2261161.01,700.230652
528180.01,2261261.01,699.347351
528180.01,2261361.01,699.750427
528180.01,2261461.01,702.584366
528180.01,2261561.01,702.216705
528180.01,2261661.01,700.406189
528180.01,2261761.01,692.388123
528180.01,2261861.01,684.476227
528180.01,2261961.01,683.144104
528180.01,2262061.01,678.723389
528180.01,2262161.01,677.258392
528180.01,2262261.01,676.198608
528180.01,2262361.01,675.276642
528180.01,2262461.01,674.83252
528180.01,2262561.01,674.126694
528180.01,2262661.01,673.801422
528180.01,2262761.01,674.332474
528180.01,2262861.01,674.535583
528180.01,2262961.01,675.459137
528180.01,2263061.01,676.734375
528180.01,2263161.01,676.462219
528180.01,2263261.01,677.689529
528180.01,2263361.01,678.827698
528180.01,2263461.01,679.726456
528180.01,2263561.01,680.262451
528180.01,2263661.01,681.645935
528180.01,2263761.01,683.268799
528180.01,2263861.01,682.804657
528180.01,2263961.01,680.847046
528180.01,2264061.01,678.372604
528180.01,2264161.01,677.630005
528180.01,2264261.01,678.577759
528180.01,2264361.01,678.599548
528180.01,2264461.01,677.916321
528180.01,2264561.01,678.201981
528180.01,2264661.01,680.060974
528180.01,2264761.01,680.931091
528180.01,2264861.01,682.071594
528180.01,2264961.01,682.82486
528180.01,2265061.01,681.615234
528180.01,2265161.01,674.247574
528180.01,2265261.01,672.542755
528180.01,2265361.01,677.138779
528180.01,2265461.01,678.252991
528180.01,2265561.01,685.121399
528180.01,2265661.01,685.84021
528180.01,2265761.01,684.298157
528180.01,2265861.01,685.780991
528180.01,2265961.01,688.217407
528180.01,2266061.01,689.299286
528180.01,2266161.01,689.710632
528180.01,2266261.01,690.336166
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,700.400803
528280.01,2261161.01,698.766113
528280.01,2261261.01,698.630219
528280.01,2261361.01,698.844299
528280.01,2261461.01,700.220306
528280.01,2261561.01,700.397186
528280.01,2261661.01,701.91394
528280.01,2261761.01,698.495972
528280.01,2261861.01,695.39978
528280.01,2261961.01,686.959229
528280.01,2262061.01,680.445465
528280.01,2262161.01,677.526245
528280.01,2262261.01,676.691376
528280.01,2262361.01,674.509094
528280.01,2262461.01,672.352539
528280.01,2262561.01,671.421204
528280.01,2262661.01,671.480774
528280.01,2262761.01,671.500702
528280.01,2262861.01,670.713776
528280.01,2262961.01,671.649719
528280.01,2263061.01,673.119843
528280.01,2263161.01,673.858307
528280.01,2263261.01,675.452942
528280.01,2263361.01,676.798401
528280.01,2263461.01,676.478516
528280.01,2263561.01,678.043762
528280.01,2263661.01,678.155838
528280.01,2263761.01,678.337646
528280.01,2263861.01,679.260834
528280.01,2263961.01,678.525574
528280.01,2264061.01,677.494415
528280.01,2264161.01,676.440613
528280.01,2264261.01,674.772766
528280.01,2264361.01,675.896057
528280.01,2264461.01,675.83316
528280.01,2264561.01,676.739258
528280.01,2264661.01,679.698395
528280.01,2264761.01,680.293335
528280.01,2264861.01,681.80275
528280.01,2264961.01,683.106644
528280.01,2265061.01,681.756775
528280.01,2265161.01,674.418365
528280.01,2265261.01,671.461121
528280.01,2265361.01,673.120834
528280.01,2265461.01,677.300598
528280.01,2265561.01,683.166046
528280.01,2265661.01,683.550201
528280.01,2265761.01,683.710785
528280.01,2265861.01,684.516541
528280.01,2265961.01,687.795013
528280.01,2266061.01,689.331543
528280.01,2266161.01,690.194427
528280.01,2266261.01,690.14856
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,702.120728
528380.01,2260961.01,701.555511
528380.01,2261061.01,700.923218
528380.01,2261161.01,699.286774
528380.01,2261261.01,699.211792
528380.01,2261361.01,699.185333
528380.01,2261461.01,697.905441
528380.01,2261561.01,696.992981
528380.01,2261661.01,696.100159
528380.01,2261761.01,692.479309
528380.01,2261861.01,690.257355
528380.01,2261961.01,684.467682
528380.01,2262061.01,681.544769
528380.01,2262161.01,681.880737
528380.01,2262261.01,681.437073
528380.01,2262361.01,678.578857
528380.01,2262461.01,672.685089
528380.01,2262561.01,671.393402
528380.01,2262661.01,670.350708
528380.01,2262761.01,668.768799
528380.01,2262861.01,666.820984
528380.01,2262961.01,667.472992
528380.01,2263061.01,669.185791
528380.01,2263161.01,669.76915
528380.01,2263261.01,671.792053
528380.01,2263361.01,673.035995
528380.01,2263461.01,672.855225
528380.01,2263561.01,674.44101
528380.01,2263661.01,676.113708
528380.01,2263761.01,676.422134
528380.01,2263861.01,677.600922
528380.01,2263961.01,677.587646
528380.01,2264061.01,674.890503
528380.01,2264161.01,673.843018
528380.01,2264261.01,672.122345
528380.01,2264361.01,671.531006
528380.01,2264461.01,671.825394
528380.01,2264561.01,675.005615
528380.01,2264661.01,678.807816
528380.01,2264761.01,679.898315
528380.01,2264861.01,682.068787
528380.01,2264961.01,682.530762
528380.01,2265061.01,681.990356
528380.01,2265161.01,677.328186
528380.01,2265261.01,671.210022
528380.01,2265361.01,672.867371
528380.01,2265461.01,678.120178
528380.01,2265561.01,680.858734
528380.01,2265661.01,682.118256
528380.01,2265761.01,684.18573
528380.01,2265861.01,686.353943
528380.01,2265961.01,687.61557
528380.01,2266061.01,689.341064
528380.01,2266161.01,690.60675
528380.01,2266261.01,691.546753
528380.01,2266361.01,692.015182
528380.01,2266461.01,-9999
528480.01,2260861.01,-9999
528480.01,2260961.01,704.435547
528480.01,2261061.01,704.885376
528480.01,2261161.01,702.201813
528480.01,2261261.01,702.138245
