"X","Y","H50_Aal (TWT)"
527780.01,2262561.01,633.337158
527780.01,2262661.01,634.389877
527780.01,2262761.01,637.001251
527780.01,2262861.01,639.025421
527780.01,2262961.01,638.54364
527780.01,2263061.01,640.01593
527780.01,2263161.01,641.0242
527780.01,2263261.01,640.362762
527780.01,2263361.01,642.134644
527780.01,2263461.01,641.413177
527780.01,2263561.01,635.654907
527780.01,2263661.01,632.932312
527780.01,2263761.01,629.634918
527780.01,2263861.01,624.512024
527780.01,2263961.01,625.798645
527780.01,2264061.01,621.750031
527780.01,2264161.01,620.214081
527780.01,2264261.01,628.976807
527780.01,2264361.01,628.477661
527780.01,2264461.01,629.608917
527780.01,2264561.01,633.483002
527780.01,2264661.01,641.387817
527780.01,2264761.01,648.302643
527780.01,2264861.01,650.331421
527780.01,2264961.01,652.606812
527780.01,2265061.01,650.495392
527780.01,2265161.01,643.913666
527780.01,2265261.01,643.051941
527780.01,2265361.01,644.246948
527780.01,2265461.01,646.066269
527780.01,2265561.01,644.652588
527780.01,2265661.01,644.739929
527780.01,2265761.01,644.234131
527780.01,2265861.01,644.622589
527780.01,2265961.01,644.97963
527780.01,2266061.01,646.073303
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,635.972382
527880.01,2261261.01,629.052338
527880.01,2261361.01,627.537903
527880.01,2261461.01,625.1427
527880.01,2261561.01,624.672913
527880.01,2261661.01,625.109802
527880.01,2261761.01,626.666245
527880.01,2261861.01,628.128998
527880.01,2261961.01,627.525116
527880.01,2262061.01,627.111816
527880.01,2262161.01,627.764099
527880.01,2262261.01,628.295563
527880.01,2262361.01,628.256653
527880.01,2262461.01,628.964478
527880.01,2262561.01,631.029144
527880.01,2262661.01,631.787231
527880.01,2262761.01,633.944519
527880.01,2262861.01,635.990845
527880.01,2262961.01,635.973938
527880.01,2263061.01,637.180862
527880.01,2263161.01,638.621094
527880.01,2263261.01,638.198486
527880.01,2263361.01,638.293304
527880.01,2263461.01,639.838684
527880.01,2263561.01,639.724289
527880.01,2263661.01,637.651093
527880.01,2263761.01,633.65416
527880.01,2263861.01,633.000671
527880.01,2263961.01,632.801758
527880.01,2264061.01,632.643738
527880.01,2264161.01,632.234711
527880.01,2264261.01,633.256226
527880.01,2264361.01,632.571182
527880.01,2264461.01,631.521393
527880.01,2264561.01,633.373505
527880.01,2264661.01,637.567261
527880.01,2264761.01,641.983459
527880.01,2264861.01,643.394836
527880.01,2264961.01,649.335358
527880.01,2265061.01,648.355927
527880.01,2265161.01,640.927979
527880.01,2265261.01,639.776917
527880.01,2265361.01,640.613586
527880.01,2265461.01,641.681259
527880.01,2265561.01,642.839661
527880.01,2265661.01,643.682373
527880.01,2265761.01,643.937836
527880.01,2265861.01,644.762756
527880.01,2265961.01,646.995544
527880.01,2266061.01,646.955017
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,-9999
527980.01,2261161.01,650.416077
527980.01,2261261.01,644.677795
527980.01,2261361.01,642.361649
527980.01,2261461.01,633.379883
527980.01,2261561.01,630.788177
527980.01,2261661.01,631.223938
527980.01,2261761.01,628.928955
527980.01,2261861.01,627.830933
527980.01,2261961.01,627.423294
527980.01,2262061.01,626.862549
527980.01,2262161.01,626.159943
527980.01,2262261.01,626.191895
527980.01,2262361.01,627.006195
527980.01,2262461.01,626.053619
527980.01,2262561.01,627.714355
527980.01,2262661.01,628.296631
527980.01,2262761.01,630.711517
527980.01,2262861.01,632.268539
527980.01,2262961.01,632.258484
527980.01,2263061.01,633.459229
527980.01,2263161.01,634.588928
527980.01,2263261.01,634.328613
527980.01,2263361.01,635.475433
527980.01,2263461.01,637.113678
527980.01,2263561.01,637.348938
527980.01,2263661.01,638.51712
527980.01,2263761.01,637.472076
527980.01,2263861.01,635.712708
527980.01,2263961.01,633.502472
527980.01,2264061.01,632.819305
527980.01,2264161.01,632.674133
527980.01,2264261.01,631.963196
527980.01,2264361.01,630.392181
527980.01,2264461.01,632.062317
527980.01,2264561.01,633.208176
527980.01,2264661.01,635.405579
527980.01,2264761.01,637.79631
527980.01,2264861.01,638.118408
527980.01,2264961.01,642.421783
527980.01,2265061.01,642.6521
527980.01,2265161.01,636.879242
527980.01,2265261.01,636.951981
527980.01,2265361.01,638.557587
527980.01,2265461.01,639.678925
527980.01,2265561.01,641.713623
527980.01,2265661.01,642.819122
527980.01,2265761.01,643.758575
527980.01,2265861.01,644.719193
527980.01,2265961.01,645.621338
527980.01,2266061.01,644.230957
527980.01,2266161.01,642.435913
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,650.60461
528080.01,2261161.01,651.228241
528080.01,2261261.01,651.591629
528080.01,2261361.01,651.278625
528080.01,2261461.01,647.445007
528080.01,2261561.01,645.071869
528080.01,2261661.01,643.593658
528080.01,2261761.01,636.660889
528080.01,2261861.01,629.815033
528080.01,2261961.01,628.519775
528080.01,2262061.01,626.955566
528080.01,2262161.01,625.486908
528080.01,2262261.01,625.571686
528080.01,2262361.01,625.64357
528080.01,2262461.01,625.355743
528080.01,2262561.01,624.830933
528080.01,2262661.01,625.647278
528080.01,2262761.01,627.53775
528080.01,2262861.01,625.891403
528080.01,2262961.01,627.480042
528080.01,2263061.01,629.445938
528080.01,2263161.01,630.964447
528080.01,2263261.01,630.889191
528080.01,2263361.01,632.351074
528080.01,2263461.01,633.575012
528080.01,2263561.01,633.916351
