"X","Y","H50_Aal (Depth)"
528380.01,2262361.01,893.850585938
528380.01,2262461.01,893.850585938
528380.01,2262561.01,887.579223633
528380.01,2262661.01,886.907409668
528380.01,2262761.01,885.99810791
528380.01,2262861.01,885.176757813
528380.01,2262961.01,884.232299805
528380.01,2263061.01,887.090209961
528380.01,2263161.01,886.950927734
528380.01,2263261.01,889.201538086
528380.01,2263361.01,889.927429199
528380.01,2263461.01,889.798217773
528380.01,2263561.01,891.470214844
528380.01,2263661.01,893.962768555
528380.01,2263761.01,894.500671387
528380.01,2263861.01,895.572692871
528380.01,2263961.01,895.70916748
528380.01,2264061.01,892.213684082
528380.01,2264161.01,890.879333496
528380.01,2264261.01,889.366027832
528380.01,2264361.01,886.733642578
528380.01,2264461.01,886.492370605
528380.01,2264561.01,888.96496582
528380.01,2264661.01,894.348876953
528380.01,2264761.01,896.692626953
528380.01,2264861.01,898.675537109
528380.01,2264961.01,898.53326416
528380.01,2265061.01,898.188781738
528380.01,2265161.01,897.189086914
528380.01,2265261.01,885.753662109
528380.01,2265361.01,887.621398926
528380.01,2265461.01,891.654785156
528380.01,2265561.01,894.957092285
528380.01,2265661.01,896.779174805
