"X","Y","H30_Lusit (Depth)"
527780.01,2263361.01,388.723022461
527780.01,2263461.01,389.342834473
527780.01,2263561.01,389.958435059
527780.01,2263661.01,390.79397583
527780.01,2263761.01,393.454803467
527780.01,2263861.01,393.350341797
527780.01,2263961.01,393.707275391
527780.01,2264061.01,395.586395264
527780.01,2264161.01,400.170654297
527780.01,2264261.01,402.672485352
527780.01,2264361.01,407.812164307
527780.01,2264461.01,408.959777832
527780.01,2264561.01,412.039215088
527780.01,2264661.01,422.329650879
527780.01,2264761.01,427.716247559
527780.01,2264861.01,431.380859375
527780.01,2264961.01,422.647277832
527780.01,2265061.01,436.875915527
527780.01,2265161.01,436.875915527
527780.01,2265261.01,436.875915527
527780.01,2265361.01,436.875915527
527780.01,2265461.01,436.63583374
527780.01,2265561.01,392.687866211
527780.01,2265661.01,392.687866211
527780.01,2265761.01,393.543273926
527780.01,2265861.01,395.644226074
527780.01,2265961.01,397.282958984
527780.01,2266061.01,398.110290527
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,391.256072998
527880.01,2261261.01,384.35446167
527880.01,2261361.01,383.491699219
527880.01,2261461.01,384.25402832
527880.01,2261561.01,385.961029053
527880.01,2261661.01,387.599182129
527880.01,2261761.01,388.621948242
527880.01,2261861.01,388.589447021
527880.01,2261961.01,389.422698975
527880.01,2262061.01,388.738098145
527880.01,2262161.01,382.935760498
527880.01,2262261.01,379.273925781
527880.01,2262361.01,380.420806885
527880.01,2262461.01,381.597412109
527880.01,2262561.01,382.35357666
527880.01,2262661.01,383.274810791
527880.01,2262761.01,385.498687744
527880.01,2262861.01,387.024414063
527880.01,2262961.01,387.76260376
527880.01,2263061.01,388.626159668
527880.01,2263161.01,389.329101563
527880.01,2263261.01,388.688323975
527880.01,2263361.01,387.899993896
527880.01,2263461.01,388.035064697
527880.01,2263561.01,388.745269775
527880.01,2263661.01,390.727661133
527880.01,2263761.01,392.70425415
527880.01,2263861.01,393.647796631
527880.01,2263961.01,393.612762451
527880.01,2264061.01,395.889556885
527880.01,2264161.01,399.370941162
527880.01,2264261.01,401.402679443
527880.01,2264361.01,407.93145752
527880.01,2264461.01,407.302734375
527880.01,2264561.01,405.474395752
527880.01,2264661.01,430.737091064
527880.01,2264761.01,432.8621521
527880.01,2264861.01,436.255981445
527880.01,2264961.01,436.875915527
527880.01,2265061.01,400.191680908
527880.01,2265161.01,400.938293457
527880.01,2265261.01,392.687866211
527880.01,2265361.01,405.680419922
527880.01,2265461.01,405.185211182
527880.01,2265561.01,392.687866211
527880.01,2265661.01,392.687866211
527880.01,2265761.01,393.083129883
527880.01,2265861.01,394.321014404
527880.01,2265961.01,397.646362305
527880.01,2266061.01,398.695068359
527880.01,2266161.01,-9999
527880.01,2266261.01,-9999
527980.01,2260961.01,-9999
527980.01,2261061.01,405.756530762
527980.01,2261161.01,394.546539307
527980.01,2261261.01,386.595916748
