"X","Y","H70_Arg_lev (Depth)"
527980.01,2264661.01,1015.617736816
527980.01,2264761.01,1008.68182373
527980.01,2264861.01,1008.280395508
527980.01,2264961.01,1014.846801758
527980.01,2265061.01,1012.837524414
527980.01,2265161.01,1012.839477539
527980.01,2265261.01,1009.908996582
527980.01,2265361.01,1011.202331543
527980.01,2265461.01,1012.642150879
527980.01,2265561.01,1017.349609375
527980.01,2265661.01,1020.267883301
527980.01,2265761.01,1022.804138184
527980.01,2265861.01,1025.562866211
527980.01,2265961.01,1022.588134766
527980.01,2266061.01,1019.833557129
527980.01,2266161.01,1019.371459961
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,1039.173828125
528080.01,2261161.01,1039.590698242
528080.01,2261261.01,1039.590698242
528080.01,2261361.01,1039.590698242
528080.01,2261461.01,1012.538208008
528080.01,2261561.01,1012.538208008
528080.01,2261661.01,1012.538208008
528080.01,2261761.01,1012.936706543
528080.01,2261861.01,1014.367492676
528080.01,2261961.01,1020.234802246
528080.01,2262061.01,1019.086914063
528080.01,2262161.01,1021.720947266
528080.01,2262261.01,1022.400390625
528080.01,2262361.01,1022.770874023
528080.01,2262461.01,1022.034057617
528080.01,2262561.01,1022.099487305
528080.01,2262661.01,1021.678344727
528080.01,2262761.01,1023.352661133
528080.01,2262861.01,1022.661010742
528080.01,2262961.01,1022.151916504
528080.01,2263061.01,1022.399047852
528080.01,2263161.01,1022.542785645
528080.01,2263261.01,1022.65411377
528080.01,2263361.01,1023.706665039
528080.01,2263461.01,1026.338867188
528080.01,2263561.01,1026.944946289
528080.01,2263661.01,1028.975585938
528080.01,2263761.01,1029.507446289
528080.01,2263861.01,1028.718994141
528080.01,2263961.01,1026.786987305
528080.01,2264061.01,1024.982666016
528080.01,2264161.01,1019.093688965
528080.01,2264261.01,1016.622070313
528080.01,2264361.01,1014.692260742
528080.01,2264461.01,1008.019470215
528080.01,2264561.01,1008.178222656
528080.01,2264661.01,1011.767883301
528080.01,2264761.01,1011.86706543
528080.01,2264861.01,1011.617126465
528080.01,2264961.01,1013.380126953
528080.01,2265061.01,1013.215942383
528080.01,2265161.01,1011.121459961
528080.01,2265261.01,1006.987121582
528080.01,2265361.01,1008.798583984
528080.01,2265461.01,1008.493530273
528080.01,2265561.01,1012.937438965
528080.01,2265661.01,1015.448059082
528080.01,2265761.01,1016.383605957
528080.01,2265861.01,1019.027282715
528080.01,2265961.01,1019.227600098
528080.01,2266061.01,1017.851623535
528080.01,2266161.01,1016.754455566
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,1038.57434082
528180.01,2261161.01,1039.559082031
528180.01,2261261.01,1038.578125
528180.01,2261361.01,1038.189208984
528180.01,2261461.01,1037.414672852
528180.01,2261561.01,1035.358032227
528180.01,2261661.01,1034.658935547
528180.01,2261761.01,1014.05456543
528180.01,2261861.01,1008.036499023
528180.01,2261961.01,1023.354553223
528180.01,2262061.01,1022.068664551
528180.01,2262161.01,1022.05279541
528180.01,2262261.01,1021.998046875
528180.01,2262361.01,1021.922119141
528180.01,2262461.01,1021.259521484
528180.01,2262561.01,1020.368713379
528180.01,2262661.01,1019.79699707
528180.01,2262761.01,1019.848632813
528180.01,2262861.01,1019.983581543
528180.01,2262961.01,1020.011047363
528180.01,2263061.01,1019.832397461
528180.01,2263161.01,1019.288391113
528180.01,2263261.01,1021.758056641
528180.01,2263361.01,1022.184082031
528180.01,2263461.01,1022.812316895
528180.01,2263561.01,1023.25213623
528180.01,2263661.01,1024.514160156
528180.01,2263761.01,1026.061279297
528180.01,2263861.01,1024.85949707
528180.01,2263961.01,1020.932678223
528180.01,2264061.01,1016.268615723
528180.01,2264161.01,1014.363525391
528180.01,2264261.01,1013.565979004
528180.01,2264361.01,1009.753295898
528180.01,2264461.01,1007.539855957
528180.01,2264561.01,1007.687561035
528180.01,2264661.01,1011.000915527
528180.01,2264761.01,1011.911560059
528180.01,2264861.01,1011.857727051
528180.01,2264961.01,1013.604064941
528180.01,2265061.01,1012.593933105
528180.01,2265161.01,1000.115661621
528180.01,2265261.01,1000.230041504
528180.01,2265361.01,1003.463256836
528180.01,2265461.01,1004.648254395
528180.01,2265561.01,1008.965637207
528180.01,2265661.01,1013.161804199
528180.01,2265761.01,1014.562988281
528180.01,2265861.01,1016.864440918
528180.01,2265961.01,1018.833129883
528180.01,2266061.01,1019.017333984
528180.01,2266161.01,1020.770446777
528180.01,2266261.01,1023.164245605
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,1039.441650391
528280.01,2261061.01,1040.028076172
528280.01,2261161.01,1035.910400391
528280.01,2261261.01,1034.555908203
528280.01,2261361.01,1034.782836914
528280.01,2261461.01,1034.47265625
528280.01,2261561.01,1034.660766602
528280.01,2261661.01,1034.156860352
528280.01,2261761.01,1032.550415039
528280.01,2261861.01,1029.987060547
528280.01,2261961.01,1004.599243164
528280.01,2262061.01,1022.068664551
528280.01,2262161.01,1022.068664551
528280.01,2262261.01,1022.068664551
528280.01,2262361.01,1022.068664551
528280.01,2262461.01,1016.313476563
528280.01,2262561.01,1021.051147461
528280.01,2262661.01,1019.725952148
528280.01,2262761.01,1018.583435059
528280.01,2262861.01,1013.637756348
528280.01,2262961.01,1014.47668457
528280.01,2263061.01,1016.877258301
528280.01,2263161.01,1018.366577148
528280.01,2263261.01,1019.574584961
528280.01,2263361.01,1021.578735352
528280.01,2263461.01,1020.80065918
528280.01,2263561.01,1020.592590332
528280.01,2263661.01,1019.954589844
528280.01,2263761.01,1020.16217041
528280.01,2263861.01,1020.387390137
528280.01,2263961.01,1018.264953613
528280.01,2264061.01,1016.149719238
528280.01,2264161.01,1013.742614746
528280.01,2264261.01,1009.10736084
528280.01,2264361.01,1006.737304688
528280.01,2264461.01,1005.536621094
528280.01,2264561.01,1006.719970703
528280.01,2264661.01,1009.198547363
528280.01,2264761.01,1010.895141602
528280.01,2264861.01,1012.240905762
528280.01,2264961.01,1012.696899414
528280.01,2265061.01,1011.329589844
528280.01,2265161.01,999.278503418
528280.01,2265261.01,998.668457031
528280.01,2265361.01,999.379211426
528280.01,2265461.01,1003.014709473
528280.01,2265561.01,1007.970031738
528280.01,2265661.01,1012.442199707
528280.01,2265761.01,1013.876831055
528280.01,2265861.01,1015.286132813
528280.01,2265961.01,1017.980407715
528280.01,2266061.01,1019.325073242
528280.01,2266161.01,1022.009094238
528280.01,2266261.01,1024.400512695
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,1039.852539063
528380.01,2260961.01,1039.852539063
528380.01,2261061.01,1034.223999023
528380.01,2261161.01,1034.339233398
528380.01,2261261.01,1033.927856445
528380.01,2261361.01,1033.547851563
528380.01,2261461.01,1030.749633789
528380.01,2261561.01,1028.469970703
528380.01,2261661.01,1026.399780273
528380.01,2261761.01,1024.826293945
528380.01,2261861.01,1008.938537598
528380.01,2261961.01,1005.046447754
528380.01,2262061.01,1004.599243164
528380.01,2262161.01,1004.599243164
528380.01,2262261.01,1022.068664551
528380.01,2262361.01,1022.068664551
528380.01,2262461.01,1016.430114746
528380.01,2262561.01,1021.838012695
