"X","Y","H60_Charm (Depth)"
528180.01,2261761.01,967.544067383
528180.01,2261861.01,941.354980469
528180.01,2261961.01,961.002563477
528180.01,2262061.01,960.582275391
528180.01,2262161.01,960.582275391
528180.01,2262261.01,960.582275391
528180.01,2262361.01,960.018066406
528180.01,2262461.01,959.383728027
528180.01,2262561.01,959.290222168
528180.01,2262661.01,958.941101074
528180.01,2262761.01,958.89251709
528180.01,2262861.01,959.097229004
528180.01,2262961.01,959.809570313
528180.01,2263061.01,960.65625
528180.01,2263161.01,960.660522461
528180.01,2263261.01,963.595458984
528180.01,2263361.01,964.206481934
528180.01,2263461.01,964.823608398
528180.01,2263561.01,965.479980469
528180.01,2263661.01,967.180664063
528180.01,2263761.01,969.737487793
528180.01,2263861.01,968.577941895
528180.01,2263961.01,964.358154297
528180.01,2264061.01,959.588439941
528180.01,2264161.01,957.574462891
528180.01,2264261.01,957.032836914
528180.01,2264361.01,953.358642578
528180.01,2264461.01,951.21685791
528180.01,2264561.01,951.50769043
528180.01,2264661.01,954.329223633
528180.01,2264761.01,955.47088623
528180.01,2264861.01,956.880310059
528180.01,2264961.01,958.143615723
528180.01,2265061.01,956.896484375
528180.01,2265161.01,945.018432617
528180.01,2265261.01,944.827941895
528180.01,2265361.01,949.808044434
528180.01,2265461.01,951.111877441
528180.01,2265561.01,959.164733887
528180.01,2265661.01,961.151855469
528180.01,2265761.01,960.686340332
528180.01,2265861.01,963.595581055
528180.01,2265961.01,965.885742188
528180.01,2266061.01,966.055908203
528180.01,2266161.01,967.115112305
528180.01,2266261.01,970.186706543
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,970.443725586
528280.01,2261161.01,970.006713867
528280.01,2261261.01,969.679626465
528280.01,2261361.01,970.24206543
528280.01,2261461.01,970.389709473
528280.01,2261561.01,969.75567627
528280.01,2261661.01,968.309204102
528280.01,2261761.01,967.734863281
528280.01,2261861.01,965.915405273
528280.01,2261961.01,940.307617188
528280.01,2262061.01,940.307617188
528280.01,2262161.01,960.582275391
528280.01,2262261.01,960.582275391
528280.01,2262361.01,960.582275391
528280.01,2262461.01,960.095092773
528280.01,2262561.01,960.095092773
528280.01,2262661.01,955.451721191
528280.01,2262761.01,955.653320313
528280.01,2262861.01,954.862121582
528280.01,2262961.01,954.881530762
528280.01,2263061.01,956.935974121
528280.01,2263161.01,959.16015625
528280.01,2263261.01,961.529418945
528280.01,2263361.01,963.418029785
528280.01,2263461.01,962.929626465
528280.01,2263561.01,963.300048828
528280.01,2263661.01,963.157775879
528280.01,2263761.01,963.372558594
528280.01,2263861.01,963.445922852
528280.01,2263961.01,961.258239746
528280.01,2264061.01,958.804382324
528280.01,2264161.01,956.3046875
528280.01,2264261.01,951.937927246
528280.01,2264361.01,950.654296875
528280.01,2264461.01,949.066589355
528280.01,2264561.01,949.954467773
528280.01,2264661.01,953.708251953
528280.01,2264761.01,954.651977539
528280.01,2264861.01,956.531860352
528280.01,2264961.01,957.190734863
528280.01,2265061.01,956.046691895
528280.01,2265161.01,955.266418457
528280.01,2265261.01,943.647033691
528280.01,2265361.01,945.585021973
528280.01,2265461.01,950.546264648
528280.01,2265561.01,957.311401367
528280.01,2265661.01,959.10736084
528280.01,2265761.01,960.162231445
528280.01,2265861.01,961.787597656
528280.01,2265961.01,965.268798828
528280.01,2266061.01,966.784790039
528280.01,2266161.01,969.111083984
528280.01,2266261.01,971.83215332
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,1000.307373047
528380.01,2260961.01,970.392456055
528380.01,2261061.01,968.141479492
528380.01,2261161.01,967.188842773
528380.01,2261261.01,966.911254883
528380.01,2261361.01,970.154907227
528380.01,2261461.01,965.669250488
528380.01,2261561.01,963.701782227
528380.01,2261661.01,962.500732422
